ID;UserID;timestamp;isVisible;version;changesetID;latitude;longitude;tags
N3721873104;3119079;2015-08-30T18:16:01Z;true;1;33688006;29.7235779;-95.3427665;[]
N3679809461;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.7193772;-95.3466556;[]
N3679809468;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.7195573;-95.3465102;[]
N3679809469;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.7195629;-95.3471836;[]
N3721873111;3119079;2015-08-30T18:16:01Z;true;1;33688006;29.7235894;-95.34267;[]
N3721873112;3119079;2015-08-30T18:16:01Z;true;1;33688006;29.7235894;-95.3426701;[]
N3721873110;3119079;2015-08-30T18:16:01Z;true;1;33688006;29.7235892;-95.34267;[]
N3679809453;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.719269;-95.3469294;[]
N3721873119;3119079;2015-08-30T18:16:01Z;true;1;33688006;29.7236329;-95.3427444;[]
N3679809454;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.7192931;-95.3468657;[]
N3721873118;3119079;2015-08-30T18:16:01Z;true;1;33688006;29.7236253;-95.3427192;[]
N3679809455;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.7193108;-95.3467972;[]
N3721873117;3119079;2015-08-30T18:16:01Z;true;1;33688006;29.7236253;-95.3427192;[]
N3679809456;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.7193122;-95.3469158;[]
N3721873116;3119079;2015-08-30T18:16:01Z;true;1;33688006;29.723614;-95.3427522;[]
N152141765;147510;2010-01-04T13:30:07Z;true;2;3536893;29.727241;-95.350682;[]
N3721873115;3119079;2015-08-30T18:16:01Z;true;1;33688006;29.723614;-95.3427521;[]
N3679809450;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.719262;-95.3470493;[]
N3721873114;3119079;2015-08-30T18:16:01Z;true;1;33688006;29.7236065;-95.3427267;[]
N3679809451;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.7192638;-95.3469264;[]
N3721873113;3119079;2015-08-30T18:16:01Z;true;1;33688006;29.7236065;-95.3427267;[]
